"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x436e255aed82a073f468bda5ec1093cd69b0000898b0c538ba6ae12ae3a82421","13607879","1636809324","2021-11-13 13:15:24","0xeb5e71370afcfd2cddd4aa0a1baa29b1af9fbcfa","0x7bd446ff9146476312c732a6322727a7fe026260","1,859.668636860563575993","$1,865.57","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x08264a44a752ab4640a550148fa67585cec09e1ee809ac35f4e40d7d8547a2d1","13607881","1636809326","2021-11-13 13:15:26","0xba554d7deb393d96ee6f584cea54998fd57a9821","0x7bd446ff9146476312c732a6322727a7fe026260","3,819.171190625936132593","$3,831.29","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x9358c71ee9631050043122f81909520b020ec7d8cc86fdae92db221bef82e6da","13608594","1636819077","2021-11-13 15:57:57","0xeb5e71370afcfd2cddd4aa0a1baa29b1af9fbcfa","0x7bd446ff9146476312c732a6322727a7fe026260","3,295.506100797857021974","$3,305.96","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x2b47b9ba6d5b6c07659bfc4e6406b9a96550739c8ebf89d266736f159f222c99","13608597","1636819138","2021-11-13 15:58:58","0xba554d7deb393d96ee6f584cea54998fd57a9821","0x7bd446ff9146476312c732a6322727a7fe026260","1,917.529905484440341979","$1,923.61","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0xe29c095e9099a9b4266fff195f7ccc477f1f1f10969800463f418a5ea33a7e26","13609057","1636825465","2021-11-13 17:44:25","0xeb5e71370afcfd2cddd4aa0a1baa29b1af9fbcfa","0x7bd446ff9146476312c732a6322727a7fe026260","5,182.797761334732744386","$5,199.24","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x97aecd9d44041058eb3e63b0b1384a69ff3711fae472bae6eff5fc6ec362bb9b","13609057","1636825465","2021-11-13 17:44:25","0x176767a6ca027e78550372df547293e9a9d204fc","0x7bd446ff9146476312c732a6322727a7fe026260","3,191.298813068848862383","$3,201.42","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x445f8e44467fdd802ce2bff5d50f43b87ad1f05f4304c8281e889222adbb5014","13609175","1636826998","2021-11-13 18:09:58","0xba554d7deb393d96ee6f584cea54998fd57a9821","0x7bd446ff9146476312c732a6322727a7fe026260","4,986.362016284929351918","$5,002.18","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x676f2f39363185670f08ce15f93cae80437411a78a351b568317b8ad04af1407","13609181","1636827073","2021-11-13 18:11:13","0x7bd446ff9146476312c732a6322727a7fe026260","0x9db012727193108e1144c98649d5ead1d911c711","24,252.334424457308031226","$24,329.28","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0xe03f71e744788cde115fa1ed8d443457055a438bb500b1aaab5019cc14784f52","13756044","1638845034","2021-12-07 02:43:54","0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77","0x7bd446ff9146476312c732a6322727a7fe026260","168,220.199299254343051275","$168,718.36","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x3d6852a012f8be81df71a009fed2312902b4ca01b9c257baaef476fcd403f39c","13756051","1638845089","2021-12-07 02:44:49","0x7bd446ff9146476312c732a6322727a7fe026260","0x9db012727193108e1144c98649d5ead1d911c711","168,220.199299254343051275","$168,718.36","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x7455eaba9afd7d41fbf3af6e6f9cc343275ffd73cd7f5f817316924785c3f9bf","15455294","1662068728","2022-09-01 21:45:28","0x0000000000000000000000000000000000000000","0x7bd446ff9146476312c732a6322727a7fe026260","100,000","N/A","0xc806f03db553731319de6d0637eb53cf73b131b1","Mischievous","MISCH"
"0xac311143e100e8ed97a299bbeee7fb1662acfc8e021411a17ec925008803b4d3","15455312","1662068953","2022-09-01 21:49:13","0x7bd446ff9146476312c732a6322727a7fe026260","0x6dbfc4f2e6985b93b149755d4e7dbbf3703dd5f3","100,000","N/A","0xc806f03db553731319de6d0637eb53cf73b131b1","Mischievous","MISCH"
"0xac311143e100e8ed97a299bbeee7fb1662acfc8e021411a17ec925008803b4d3","15455312","1662068953","2022-09-01 21:49:13","0x0000000000000000000000000000000000000000","0x7bd446ff9146476312c732a6322727a7fe026260","774.596669241483376035","N/A","0x6dbfc4f2e6985b93b149755d4e7dbbf3703dd5f3","Uniswap V2","UNI-V2"
"0x7f3ace3035457d9965efcf7fd5d3a7321b4d1c2f53eafb2a80d05598dbf83be2","15455325","1662069083","2022-09-01 21:51:23","0x7bd446ff9146476312c732a6322727a7fe026260","0xe2fe530c047f2d85298b07d9333c05737f1435fb","774.596669241483376035","N/A","0x6dbfc4f2e6985b93b149755d4e7dbbf3703dd5f3","Uniswap V2","UNI-V2"
"0xd745aef903d779cfbc41409d834add0cac58fcfd1c58ce9ca714a4a164660f0e","15500034","1662688007","2022-09-09 01:46:47","0xe2fe530c047f2d85298b07d9333c05737f1435fb","0x7bd446ff9146476312c732a6322727a7fe026260","774.5966692414833","N/A","0x6dbfc4f2e6985b93b149755d4e7dbbf3703dd5f3","Uniswap V2","UNI-V2"
"0x846ce946fe09d249b77c4c15af64b50ee3d6f18673b3e856f9d4de1dce803064","15500044","1662688137","2022-09-09 01:48:57","0x7bd446ff9146476312c732a6322727a7fe026260","0x6dbfc4f2e6985b93b149755d4e7dbbf3703dd5f3","774.5966692414833","N/A","0x6dbfc4f2e6985b93b149755d4e7dbbf3703dd5f3","Uniswap V2","UNI-V2"
"0x846ce946fe09d249b77c4c15af64b50ee3d6f18673b3e856f9d4de1dce803064","15500044","1662688137","2022-09-09 01:48:57","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x7bd446ff9146476312c732a6322727a7fe026260","86,871.655343766373186962","N/A","0xc806f03db553731319de6d0637eb53cf73b131b1","Mischievous","MISCH"
